yyyymm,filename,seq
202301,seoul_purpose_admdong4_in_20230131.zip,230131
202302,seoul_purpose_admdong4_in_20230228.zip,230228
202303,seoul_purpose_admdong4_in_20230331.zip,230331
202304,seoul_purpose_admdong4_in_20230430.zip,230430
202305,seoul_purpose_admdong4_in_20230531.zip,230531
202306,seoul_purpose_admdong4_in_20230630.zip,230630
202307,seoul_purpose_admdong4_in_20230731.zip,230731
202308,seoul_purpose_admdong4_in_20230831.zip,230831
202309,seoul_purpose_admdong4_in_20230930.zip,230930
202310,seoul_purpose_admdong4_in_20231031.zip,231031
202311,seoul_purpose_admdong4_in_20231130.zip,231130
202312,seoul_purpose_admdong4_in_20231231.zip,231231
202401,seoul_purpose_admdong4_in_20240131.zip,240131
202402,seoul_purpose_admdong4_in_20240229.zip,240229
202403,seoul_purpose_admdong4_in_20240331.zip,240331
202404,seoul_purpose_admdong4_in_20240430.zip,240430
202405,seoul_purpose_admdong4_in_20240531.zip,240531
202406,seoul_purpose_admdong4_in_20240630.zip,240630
202407,seoul_purpose_admdong4_in_20240731.zip,240731
202408,seoul_purpose_admdong4_in_20240831.zip,240831
202409,seoul_purpose_admdong4_in_20240930.zip,240930
202410,seoul_purpose_admdong4_in_20241031.zip,241031
202411,seoul_purpose_admdong4_in_20241130.zip,241130
202412,seoul_purpose_admdong4_in_20241231.zip,241231
202501,seoul_purpose_admdong4_in_20250131.zip,250131
202502,seoul_purpose_admdong4_in_20250228.zip,250228
202503,seoul_purpose_admdong4_in_20250331.zip,250331
202504,seoul_purpose_admdong4_in_20250430.zip,250430
202505,seoul_purpose_admdong4_in_20250531.zip,250531
202506,seoul_purpose_admdong4_in_20250630.zip,250630
202507,seoul_purpose_admdong4_in_20250731.zip,250731
202508,seoul_purpose_admdong4_in_20250831.zip,250831
202509,seoul_purpose_admdong4_in_20250930.zip,250930
202510,seoul_purpose_admdong4_in_20251031.zip,251031
202511,seoul_purpose_admdong4_in_20251130.zip,251130
202512,seoul_purpose_admdong4_in_20251231.zip,251231
202601,seoul_purpose_admdong4_in_20260131.zip,260131
202602,seoul_purpose_admdong4_in_20260228.zip,260228
202603,seoul_purpose_admdong4_in_20260331.zip,260331
