d_gu_name,bjdong_nm,total_cnt,evening_2030_cnt,morning_2030_cnt,afternoon_2030_cnt,late_night_2030_cnt,weekday_2030_cnt,friday_2030_cnt,weekend_2030_cnt,adjusted_mobility_score,mobility_score,residential_dominance_score,young_single_ratio,young_homebound_ratio,evening_2030_ratio,morning_2030_ratio,afternoon_2030_ratio,late_night_2030_ratio,weekday_2030_ratio,friday_2030_ratio,weekend_2030_ratio,commercial_zone_ratio,residential_zone_ratio,food_sales_ratio,daytime_influx_ratio,commercial_potential_score,bjdong_cd,candidate_type,visit_pattern_type,residential_filter
마포구,서강동,1642498.26,97233.53,12811.98,362037.72,38928.63,534217.88,122365.59,190781.84,2.830087203868864,3.9517246783761646,1.6023392492961441,0.3004368980240294,0.04220534207129382,0.11474806538870468,0.015119783461515554,0.4272510518515326,0.04594078792297976,0.6304457755061982,0.1444071270748622,0.22514709741893968,0.0,0.0,0.0,1.0,2.830087203868864,11440655,관찰 필요,생활 밀착형,혼재형 (상권+거주)
용산구,이태원동,1213248.52,94599.51000000001,12667.3,225226.55,50132.52,274635.08999999997,92938.01999999999,212205.68,2.453399001181506,3.5361910352127,1.5468457629017063,0.37271254903304113,0.06320524488052001,0.16004015488250986,0.021937389106087106,0.3933183031407965,0.08420531874052592,0.47700245190457435,0.15906261188569037,0.36393493620973516,0.0,0.0,0.0,1.0,2.703399001181506,11170650,야간 소비형,목적 방문형,혼재형 (상권+거주)
영등포구,여의동,7806770.0,129336.34999999999,275119.07,1270630.6,100240.46,2220882.16,527727.23,578850.15,2.6197263947081266,2.6197263947081266,-0.027530506584676456,0.1506593169044531,0.0517639429312581,0.038869398243682324,0.08268141706690744,0.38186207367077407,0.03012522279985409,0.6674407707448788,0.1585976399280275,0.17396158932709366,0.0,0.0,0.0,1.0,2.6197263947081266,11560540,광역 목적지형,생활 밀착형,방문성 검토
마포구,합정동,1327324.92,80331.53,11041.98,290829.22,26623.57,367965.21,100340.2,208944.93,2.5596485792991306,3.8267903634174685,1.8102025487404827,0.3530507005633396,0.045890509894554385,0.11861423354914817,0.01630413356455458,0.4294264658471784,0.039311268562818295,0.5433222964494931,0.14815821281093783,0.3085194907395691,0.0,0.0,0.0,1.0,2.5596485792991306,11440680,관찰 필요,불명확,혼재형 (상권+거주)
강서구,화곡본동,1050600.09,76287.41,5735.52,100219.3,32523.53,209978.06,48226.51,89439.84,1.9636576220078927,2.7408025444785036,1.1102070321008728,0.2435598265158602,0.04024832043541117,0.21944092240689275,0.016498237379971106,0.28828106282508614,0.09355401399953475,0.6040024057915961,0.13872367457310764,0.25727391963529633,0.0,0.0,0.0,1.0,2.4636576220078927,11500590,야간 소비형,목적 방문형,방문성 검토
영등포구,문래동,2463603.43,93620.95999999999,43989.45,334677.84,32963.91,596538.02,152240.55,228165.87,2.3873359625428856,2.3873359625428856,-0.4631396189398658,0.15770632968016104,0.03194363677029747,0.0958303831485033,0.04502758621565009,0.34257612439045154,0.033741847182220515,0.6106161165111907,0.15583337574447936,0.23355050774432984,0.0,0.0,0.0,1.0,2.3873359625428856,11560605,광역 목적지형,불명확,방문성 검토
영등포구,영등포본동,961703.72,53750.96,5322.05,103731.46,18288.83,163930.34,41137.77,90785.55,1.854546160117557,1.854546160117557,-0.20376361324986642,0.16116561844863733,0.05033682739343116,0.181680902646261,0.017988792161638293,0.3506174640530052,0.06181714973544692,0.5540926551322705,0.1390476967565654,0.3068596481111642,0.0,0.0,0.0,1.0,2.354546160117557,11560515,관찰 필요,목적 방문형,방문성 검토
성동구,왕십리도선동,1761935.69,92364.98,14320.01,223781.79,47103.25,383635.1,90412.8,146649.18,2.3405637776242934,2.3405637776242934,-0.06573635571892486,0.2000353866317169,0.03294495412844037,0.148808465475623,0.023070851243572794,0.36053301555728284,0.07588766165937176,0.6180713787150408,0.14566332420961287,0.23626529707534633,0.0,0.0,0.0,1.0,2.3405637776242934,11200535,관찰 필요,생활 밀착형,방문성 검토
성동구,성수2가동,3319443.3499999996,101384.39,57362.840000000004,687482.05,52167.869999999995,954080.06,244198.16,389976.83,2.2873124025948925,2.6553211075975915,0.5257267214324272,0.26025463482336075,0.05329011526380905,0.07535619117553506,0.03452718208587883,0.42673973278624344,0.03903994322905225,0.5968606411377978,0.15296825013496712,0.250171108727235,0.0,0.0,0.0,1.0,2.2873124025948925,11200690,광역 목적지형,불명확,방문성 검토
강서구,염창동,1578711.55,92142.72,11422.32,160716.38,28584.44,304745.46,70973.74,122236.62,2.2851764304548348,2.2851764304548348,-0.39565080539458314,0.14740111063648012,0.02843229389149936,0.18504195813998117,0.02293842052092091,0.3227522875422964,0.05740356644491071,0.61199296756889,0.14253019474699583,0.2454768376841142,0.0,0.0,0.0,1.0,2.2851764304548348,11500510,관찰 필요,불명확,방문성 검토
