hour,board_count,alight_count,total_count
1,285029,340016,625045
2,178083,186663,364746
3,162178,155357,317535
4,933567,580721,1514288
5,2120569,1941268,4061837
6,4422009,3770551,8192560
7,10197389,8724279,18921668
8,12196537,12627749,24824286
9,8769984,8984096,17754080
10,7135100,7116690,14251790
11,7136051,6947207,14083258
12,7769459,7455249,15224708
13,8073486,7915986,15989472
14,8089145,7784587,15873732
15,9303419,8897990,18201409
16,10397034,9912164,20309198
17,11319398,10811856,22131254
18,12317295,12268204,24585499
19,9096134,9664590,18760724
20,7213501,7257136,14470637
21,6689976,6617120,13307096
22,5781294,6071268,11852562
23,2965676,3374929,6340605
