station_name,bus_board_total,bus_alight_total,bus_total_count,route_count
회기역(00001),168517,72890,241407,2
경희대의료원(00004),97973,93478,191451,1
수유역(00016),95339,85056,180395,2
당산역.지하철2호선(00019),101541,77556,179097,1
구로디지털단지역(중)(00016),80806,93225,174031,1
남산서울타워(00009),85550,72517,158067,1
낙성대역(00039),75564,78825,154389,1
신림역4번출구(00015),81657,71831,153488,1
수유역.강북구청(00013),72259,69416,141675,6
개봉역(00001),84837,47747,132584,4
신대방역(00013),67450,64910,132360,1
구로디지털단지역(중)(00010),63487,61712,125199,1
신촌전철역(00015),94432,30147,124579,1
지하철2호선강남역(00070),79280,45104,124384,3
신림역(00012),69168,53825,122993,1
신림사거리.신림역(00071),84035,37384,121419,3
구로디지털단지역(00028),47392,71552,118944,3
길음역7번출구(00008),45492,68582,114074,1
중앙대후문(00034),20238,90526,110764,1
벽산아파트5단지(00014),32793,75384,108177,1
고속터미널(00062),48886,57969,106855,3
가산디지털단지역(00031),20784,83495,104279,1
쌍문역.쌍리단길(00004),85512,18630,104142,2
대림역4번출구(00001),63128,40851,103979,2
양재역10번출구(00028),84831,18693,103524,2
고속터미널(00049),70171,32765,102936,3
중앙대병원(00037),62101,40729,102830,1
노량진역(00026),82551,17909,100460,2
홍대입구역(00021),41442,58388,99830,3
신당역하나은행(00015),63244,35749,98993,1
중앙대학교(00052),66242,32518,98760,1
신도림역2번출구(00001),64068,33588,97656,1
개봉역.림괄아파트(00007),54371,42754,97125,1
회기역종점(00026),53147,43754,96901,1
미아사거리전철역(00019),80501,15772,96273,1
서울대입구역3번출구(00022),76946,18946,95892,1
홍대입구역(00018),14200,81414,95614,1
신림사거리.신림역(00069),66466,27556,94022,2
구로디지털단지역(00044),30190,62915,93105,2
홍대입구역(00001),63943,28529,92472,5
신림역4번출구(00011),50542,41743,92285,1
미아사거리역.롯데백화점(00002),58203,33349,91552,2
남산서울타워(00005),46630,44765,91395,1
홍대입구역(00037),74020,16255,90275,2
상명대정문(00055),43946,45411,89357,1
창동역1번출구(도봉방면)(00001),49927,38775,88702,2
노량진역(00020),15660,72056,87716,3
고속터미널(00028),30970,56608,87578,1
홍대입구역(00047),6921,80484,87405,2
봉천역(00001),71486,15736,87222,3
청량리역환승센터(00053),55474,31681,87155,4
수유역.강북구청(00012),32504,54358,86862,2
고속터미널(00037),34838,51575,86413,3
서울대입구역2번출구(00012),21256,64789,86045,1
까치산역4번출구(00011),46189,39703,85892,2
고속터미널(00083),60972,24118,85090,1
구로디지털단지역(중)(00009),48987,35978,84965,1
숭실대입구역(00047),52302,32470,84772,3
서울대입구역2호선(00005),51347,33414,84761,1
구로디지털단지역(00070),64080,20476,84556,2
쌍문역(00010),28693,54559,83252,5
미아사거리역(00025),54640,28212,82852,1
롯데백화점(00020),51269,30466,81735,2
고속터미널(00011),43947,37673,81620,2
장한평역2번출구(00007),27330,54177,81507,1
논현역(00069),51621,29782,81403,3
서울대입구역3번출구(00032),58730,22170,80900,1
길음역3번출구A(00020),71135,9591,80726,1
선바위역1번출구(00001),62873,17011,79884,1
상도역5번출구(00032),65945,13647,79592,1
옥수역4번출구.한강버스선착장(00001),41699,37890,79589,1
대방역(00001),52693,26865,79558,5
미아사거리역(00075),38729,40750,79479,2
남산서울타워(00012),35964,43176,79140,1
미아사거리역(00018),49203,29824,79027,6
가산디지털단지역2번출구(00001),78029,912,78941,1
개봉역(00019),44778,33848,78626,1
수유역.강북구청(00074),33427,45134,78561,2
장한평역2번출구(00041),20200,58345,78545,1
길음뉴타운(00020),49844,28038,77882,6
홍대입구역(00051),75698,1925,77623,1
롯데백화점미아점(00010),11266,66016,77282,1
천호역(00040),23229,53328,76557,2
수유역.강북구청(00029),42455,33908,76363,2
구로디지털단지역(00055),56104,19816,75920,2
신정역(은행정).신정4동주민센터(00008),15613,59492,75105,3
돈암사거리.성신여대입구(00022),38404,36460,74864,6
삼선교.한성대학교(00029),42809,31998,74807,3
역삼역7번출구.GS타워(00011),35909,38261,74170,2
신도림역(00029),33904,39994,73898,2
지하철2호선강남역(00052),54616,18761,73377,2
남영역.민주화운동기념관(00018),60234,12532,72766,2
낙성대역(00013),61533,11013,72546,2
회기역종점(00012),38488,33927,72415,1
삼선교.한성대학교(00023),41521,30459,71980,6
구로디지털단지역(중)(00022),33207,38563,71770,1
지하철7호선면목역(00018),50668,20835,71503,1
구로디지털단지역(00049),38035,33394,71429,2
혜화역4번출구(00010),9404,61165,70569,2
한성대정문(00038),34895,35140,70035,1
구로디지털단지역(00016),23781,46153,69934,2
신림사거리.신림역(00013),12561,57350,69911,2
신림역4번출구(00022),41540,28326,69866,1
잠실역.롯데월드(00024),41477,28304,69781,3
개봉역(00071),39962,29717,69679,2
까치산역2번출구(00048),39606,29874,69480,1
회기역(00006),14722,54755,69477,1
녹번역(00054),44693,24338,69031,3
개봉역(00020),33054,35756,68810,2
서울대입구역3번출구(00052),49988,18523,68511,1
북아현삼거리(00001),35128,33358,68486,1
서울역버스환승센터(00033),24334,44110,68444,4
신도림역(00014),13750,54524,68274,4
수유역.강북구청(00028),43850,24388,68238,1
동묘앞역.롯데캐슬천지인(00020),56124,12099,68223,2
홍제역1번출구(00011),50908,17276,68184,2
국가인권위.안중근활동터(00058),47072,21045,68117,1
창동역서측(00028),40826,26673,67499,1
쌍문역.쌍리단길(00021),45259,21918,67177,1
도봉소방서.방학역남부(00007),51530,15455,66985,5
해방촌오거리(00029),18180,48492,66672,1
중앙대후문(00010),42028,24565,66593,1
지하철2호선강남역(00055),42450,24051,66501,2
면목역(00009),24759,41657,66416,1
서울역버스환승센터(00046),56537,9763,66300,2
이수역2번출구(00001),52826,13320,66146,2
정릉시장입구(00006),52816,13312,66128,5
지하철2호선강남역(00023),25397,40440,65837,2
쌍문역.쌍문시장(00010),28383,36825,65208,1
도봉산역(00002),61168,3653,64821,4
디지털미디어시티역(00005),49110,15621,64731,7
수서역6번출구(00006),51793,12817,64610,1
홍제역(중).서대문세무서(00052),40939,23651,64590,3
신대방삼거리(00030),31031,33376,64407,4
홍제역3번출구(00006),37688,26624,64312,1
수유시장.성신여대미아캠퍼스앞(00015),41588,22626,64214,5
광화문역(00032),34087,30079,64166,3
까치산역1번출구(00036),45909,18224,64133,1
석계역(00015),35378,28684,64062,2
삼선교.한성대학교.조소앙활동터(00067),33887,30127,64014,4
여의도환승센터(00041),28097,35891,63988,2
쌍문역.쌍리단길(00024),39587,24312,63899,1
남산예장버스환승주차장(00001),55063,8784,63847,2
명지전문대.충암중고등학교(00015),28471,35354,63825,3
도봉구민회관.도봉문화원(중)(00009),35153,28593,63746,5
미아사거리역(00019),35449,27762,63211,2
홍제역4번출구(00027),27083,36053,63136,1
잠실역8번출구(00031),18293,44687,62980,1
해방촌오거리(00006),34318,28447,62765,1
고속터미널(00035),32548,30132,62680,3
강서보건소.9호선등촌역(00001),47581,14834,62415,2
경복궁역1번출구(00036),42687,19490,62177,1
고속터미널(00048),58131,4026,62157,2
동교동삼거리(00033),16361,45763,62124,3
신촌역(00001),38649,23466,62115,4
금천구종합청사.금천구청역(00005),56229,5710,61939,1
홍제역(중).서대문세무서(00025),43817,17868,61685,4
삼성래미안.롯데캐슬(00020),39771,21904,61675,2
범일운수종점(00001),61207,421,61628,7
여의도환승센터(00046),22135,39430,61565,2
노량진역3번출구(00035),7244,54231,61475,2
경방타임스퀘어.신세계백화점(00031),39104,22203,61307,1
신림역2번출구(00082),10689,50556,61245,1
양재역7번출구.한신휴플러스(00016),10725,50515,61240,1
상계역3번출구(00010),7562,53539,61101,1
창동역서측(00041),41763,19239,61002,1
선진운수종점(00001),59979,617,60596,9
중앙대병원후문.흑석시장(00006),23363,37015,60378,1
노원역1번출구(00035),53429,6730,60159,1
홍제역3번출구(00010),35791,24327,60118,1
사당역(00003),51007,9001,60008,4
합정역(00034),32770,26991,59761,2
낙성대역(00001),57797,1860,59657,2
길음시장(00011),7805,51745,59550,1
숭실대입구역2번출구(00016),53133,6344,59477,1
미아리고개.미아리예술극장(00021),35179,23967,59146,6
구로4동우체국.고대구로병원정문(00022),35331,23752,59083,4
천호역(00075),28781,30136,58917,1
서울대입구역2번출구(00026),21813,37068,58881,1
숭덕초교(00008),36443,22430,58873,5
신용산역(00040),33425,25421,58846,3
서경대본관(00001),42145,16575,58720,2
수유역.강북구청(00054),28102,30528,58630,1
응암역신사오거리(00059),37279,21135,58414,1
새절역.숭실고입구(00011),45127,13236,58363,3
건대로데오거리입구(00031),26647,31638,58285,1
순천향대학병원(00035),45228,12986,58214,1
복정역환승센터4번승강장(00001),57669,346,58015,7
수유역(00013),29684,28040,57724,1
구로디지털단지역(00068),25234,32399,57633,1
금호역(00039),16508,41097,57605,2
신도림역(00013),30875,26564,57439,3
외대앞(00019),42772,14518,57290,2
복정역환승센터3번승강장(00001),56161,1126,57287,9
신도봉시장.도봉구청.방학역북부(00006),41287,15967,57254,6
시흥동은행나무(00011),32048,25133,57181,1
신분당선강남역(00051),38896,18210,57106,2
서울역버스환승센터(00034),26582,30473,57055,2
홍대입구역(00046),19698,37262,56960,2
명륜3가.성대입구(00031),30751,26204,56955,3
수유3동우체국(00012),30185,26743,56928,5
고속터미널(00043),20963,35787,56750,2
창덕궁.우리소리박물관(00033),21713,35004,56717,2
경방타임스퀘어.신세계백화점(00033),37397,19304,56701,1
신촌역(00018),43456,13224,56680,2
영등포역2번출구(00016),33171,23400,56571,1
수유역.강북구청(00076),31762,24803,56565,3
정릉산장아파트(00002),55057,1032,56089,6
구로디지털단지역(00025),17149,38486,55635,1
삼선교.한성대학교.조소앙활동터(00068),20873,34713,55586,1
풍납토성.천호역10번출구(00054),13049,42529,55578,1
서울대입구역2번출구(00013),23996,31557,55553,1
광진문화예술회관(00007),36182,19253,55435,1
도봉한신아파트(00003),49635,5695,55330,6
안국역.서울공예박물관(00034),27101,28133,55234,2
구의역4번출구(00019),3020,52170,55190,2
정릉우체국앞(00007),43929,11214,55143,5
사당역12번출구(00007),29598,25487,55085,1
북아현로입구(00021),46876,8119,54995,1
혜화역.서울연극센터(장면총리가옥)(00035),19878,35025,54903,2
인왕초등학교(00010),10528,44329,54857,2
숙대역7번출구(00012),11301,43538,54839,1
역삼역7번출구.GS타워(00060),32115,22630,54745,1
여의도역5번출구(00059),13396,41253,54649,3
시흥사거리.대명시장(00007),32710,21826,54536,1
숭실대입구역(00015),13897,40621,54518,1
신림사거리.신림역(00044),26406,28109,54515,2
수유역.강북구청(00079),33839,20651,54490,1
장지역2번출구(00015),14378,40012,54390,2
현대아파트후문(00001),19495,34885,54380,1
상계역1번출구(00014),27465,26710,54175,1
여의도환승센터(00048),16812,37301,54113,2
지하철2호선강남역(00045),26162,27773,53935,2
신림사거리.신림역(00021),11326,42542,53868,1
도봉보건소(00008),33812,20051,53863,5
잠실역.롯데월드(00046),29675,24169,53844,1
종로1가(00031),25652,28110,53762,4
삼선교(00019),48753,4908,53661,1
까치산역2번출구(00024),24566,29045,53611,1
쌍문역(00012),12344,41008,53352,1
양재역10번출구(00016),34418,18768,53186,2
종로3가.탑골공원(00094),32418,20749,53167,3
관악구청(00038),37530,15619,53149,2
이대부고(00038),23893,29129,53022,2
미아역7번출구(00013),43184,9736,52920,1
상계역3번출구(00022),41115,11749,52864,1
잠실역1번.11번출구(00066),35408,17442,52850,1
노량진수산시장.CTS기독교TV(00021),29622,22940,52562,3
잠실종합운동장(00034),42642,9805,52447,3
쌍문역.쌍문시장(00034),10706,41619,52325,1
중앙대학교(00050),36050,16269,52319,2
마포역(00045),36985,15193,52178,2
양재역.종합복지관(00017),43264,8896,52160,1
마포역(00080),17344,34716,52060,1
수유시장.성신여대미아캠퍼스앞(00021),21705,30206,51911,2
연신내역.로데오거리(00027),15452,36458,51910,1
쌍문역(00046),17708,34176,51884,1
영천시장(00018),23414,28439,51853,2
홍대입구역(00057),38311,13459,51770,3
청림동현대아파트(00017),25317,26439,51756,1
북아현로입구(00007),6522,45217,51739,2
서울북부지방법원.검찰청.도봉역성황당(00004),43353,8352,51705,7
길음2동주민센터(00019),31651,20045,51696,5
성신여대입구역5번출구(00012),7122,44386,51508,2
신도림역2번출구(00010),21717,29723,51440,1
청량리역환승센터(00024),29180,22256,51436,2
잠실역.롯데월드몰(00035),20142,31251,51393,1
하계역2번출구(00012),16733,34655,51388,3
금정역(00096),40901,10485,51386,1
학동역(00015),23543,27812,51355,2
수유시장.성신여대미아캠퍼스앞(00078),27470,23497,50967,3
성대시장(00031),32444,18304,50748,2
답십리역사거리(00031),23119,27591,50710,3
경방타임스퀘어.신세계백화점(00020),28159,22479,50638,2
명륜3가.성대입구(00025),36474,14030,50504,3
혜화역3번출구.서울대병원입구(00036),37522,12626,50148,2
신분당선강남역(00037),15887,34244,50131,2
한양아파트.압구정로데오역(00039),27745,22299,50044,3
중앙대학교(00064),29708,20302,50010,1
경복궁역2번출구(00016),13879,36043,49922,1
순천향대학병원.한남오거리(00033),12383,37495,49878,1
봉천역.관악초등학교(00068),19078,30750,49828,2
연신내역6번출구(00010),30812,18839,49651,1
경방타임스퀘어.신세계백화점(00027),27024,22557,49581,1
합정역(00060),42541,6976,49517,2
어린이대공원후문아차산역(00053),29560,19932,49492,2
독산역(00001),47740,1681,49421,1
신림사거리.신림역(00061),34957,14424,49381,2
대방역7번출구(00058),28199,21172,49371,1
서울역버스환승센터(00041),19266,29974,49240,3
신도림역(00051),38860,10342,49202,1
고속터미널(00066),32936,16245,49181,1
청량리역환승센터(00079),27412,21752,49164,2
구로디지털단지역(00020),10554,38558,49112,1
옥수역.한강버스선착장(00001),47542,1549,49091,2
돈암사거리.성신여대입구(00086),28201,20410,48611,2
수유시장.성신여대미아캠퍼스앞(00014),30878,17675,48553,2
신도림역(00020),10208,38257,48465,1
서울역사박물관.경희궁앞(00033),30154,18268,48422,3
성동구청(00069),29811,18562,48373,3
목2동주민센터(00002),42549,5753,48302,2
노량진역2번출구(00043),42243,6045,48288,2
미아사거리역(00035),36508,11748,48256,2
인덕원사거리.인덕원역(00071),28660,19578,48238,1
공덕전철역(00014),26370,21727,48097,2
경방타임스퀘어.신세계백화점(00067),14424,33609,48033,1
신분당선강남역(00036),20129,27846,47975,2
경희대입구(00022),29266,18442,47708,1
중화역3번출구(00102),26395,21272,47667,1
삼익아파트앞(00001),35671,11940,47611,1
창경궁.서울대학교병원(00032),24508,23070,47578,3
강변역A(00019),25331,22149,47480,1
미아사거리역(00024),18715,28725,47440,2
쌍문역(00077),35934,11464,47398,1
신대방역(00083),44345,3051,47396,1
청량리.청과물도매시장(00026),21063,26316,47379,3
성대시장(00029),29167,18201,47368,2
중앙대병원(00007),38480,8788,47268,1
국가인권위.안중근활동터(00029),5508,41666,47174,1
수유역(00011),23791,23380,47171,1
수유역.강북구청(00010),23012,24144,47156,1
쌍문역.쌍문시장(00025),10395,36720,47115,1
인덕원역3번출구(00033),19901,27074,46975,2
선릉역(00075),23321,23476,46797,1
숙대역5번출구(00019),39764,7006,46770,1
신촌오거리.현대백화점(00054),34807,11943,46750,4
공군호텔(00063),23161,23496,46657,3
노량진역(00022),33881,12752,46633,2
후암동종점.용산중학교(00066),22789,23829,46618,1
현대시장.시흥4동주민센터(00007),40328,6188,46516,4
경복궁역3번출구(00050),32081,14425,46506,1
잠실역.잠실대교남단(00075),21762,24564,46326,1
여의도환승센터(00078),32714,13563,46277,1
국민대앞(00090),34852,11336,46188,1
신분당선강남역(00071),27890,18193,46083,2
강변역.테크노마트앞(00040),21801,24280,46081,1
미아사거리역(00070),18042,27927,45969,1
샛강역1번출구.여의도자이(00058),11521,34444,45965,3
국민은행장안동지점(00025),22590,23305,45895,1
명륜동2가.성균관대입구(00067),23983,21871,45854,1
순천향대학병원(00071),37151,8691,45842,2
사당역(00038),12788,33041,45829,1
금천구종합청사.금천구청역(00026),2431,43322,45753,1
제2공학관(00022),26480,19201,45681,1
청량리역환승센터(00025),17067,28589,45656,2
성대시장(00087),29962,15623,45585,2
천호역(00022),26864,18721,45585,2
노원역1번출구(00019),41074,4504,45578,1
석계역1번출구B(00015),26676,18805,45481,1
잠실역.잠실대교남단(00022),22000,23422,45422,1
서울역버스환승센터(00029),13029,32332,45361,2
수유역.강북구청(00103),24505,20843,45348,1
동대문역.흥인지문(00028),24711,20628,45339,2
영등포역(00043),12594,32718,45312,1
신림사거리(00050),36968,8206,45174,1
상도역.하나은행(00014),15926,29230,45156,1
홍대입구역(00022),27875,17237,45112,1
종로2가(00093),23749,21328,45077,3
삼선교.한성대학교(00012),20868,24164,45032,2
양재역4번출구(00027),20506,24511,45017,1
중계1동주민센터(00025),8130,36860,44990,2
서울역버스환승센터(00035),22541,22394,44935,2
구파발역.롯데몰(00006),33305,11601,44906,2
오금역.오금동현대아파트(00013),27059,17783,44842,2
혜화역2번출구.마로니에공원(00065),15705,29106,44811,4
경방타임스퀘어.신세계백화점(00052),21121,23657,44778,1
녹번역(00023),20609,24153,44762,5
신림사거리(00053),34460,10291,44751,1
뱅뱅사거리(00049),15744,28928,44672,3
상봉역.중랑우체국(00011),28984,15600,44584,2
덕성여대솔밭근린공원(00006),38584,5914,44498,5
수유역.수유사거리(00014),24726,19738,44464,6
강북구청(00011),21643,22813,44456,2
