d_admdong_cd,st_time_cd,cnt_2030,total_cnt
11110515,00,931.8100000000001,2012.75
11110515,01,2050.54,4541.44
11110515,02,1320.19,3268.17
11110515,03,1252.6399999999999,3292.48
11110515,04,1536.97,5860.6
11110515,05,5721.9,21022.94
11110515,06,13671.2,50331.87
11110515,0700,7633.76,26372.83
11110515,0720,9192.98,29633.1
11110515,0740,9506.97,27635.46
11110515,0800,9598.31,25936.5
11110515,0820,9504.74,24859.95
11110515,0840,9187.61,23102.18
11110515,0900,9086.55,23109.2
11110515,0920,8477.58,21799.22
11110515,0940,8185.49,20693.15
11110515,10,22002.72,60123.86
11110515,11,28110.74,73533.77
11110515,12,29070.83,77034.3
11110515,13,29419.77,74453.04
11110515,14,25568.66,66003.32
11110515,15,22995.190000000002,60095.15
11110515,16,21338.89,54813.53
11110515,1700,6899.139999999999,17591.77
11110515,1720,6970.82,17321.55
11110515,1740,6609.67,17576.84
11110515,1800,8277.59,20199.35
11110515,1820,5864.72,15043.210000000001
11110515,1840,5200.99,13381.210000000001
11110515,1900,4673.3099999999995,12749.78
11110515,1920,3639.5,10470.75
11110515,1940,3497.39,10263.06
11110515,20,9668.43,27602.39
11110515,21,8671.87,22954.829999999998
11110515,22,4795.58,12035.05
11110515,23,549.1,1592.78
11110530,00,1297.16,3216.98
11110530,01,2651.6,6808.92
11110530,02,1848.96,5094.06
11110530,03,2091.96,6075.87
11110530,04,5443.6,18619.26
11110530,05,22516.07,74541.92
11110530,06,57270.03,157630.82
11110530,0700,34214.78,83063.72
11110530,0720,41183.25,96312.68000000001
11110530,0740,48569.17,107074.78
11110530,0800,51094.81,110092.54
11110530,0820,38119.19,87360.43
11110530,0840,26350.52,66947.52
11110530,0900,22289.45,60034.81
11110530,0920,17640.24,52675.81
11110530,0940,15138.98,48893.18
11110530,10,47095.24,148718.86
11110530,11,69008.47,185283.68
11110530,12,75492.86,192708.41999999998
11110530,13,56777.56,152408.66999999998
11110530,14,43996.38,118274.57
11110530,15,41031.0,113128.35
11110530,16,42559.659999999996,116028.66
11110530,1700,16120.3,42434.0
11110530,1720,15682.75,39968.05
11110530,1740,15905.1,39850.27
11110530,1800,22385.07,50267.54
11110530,1820,14053.67,32833.14
11110530,1840,11039.210000000001,25728.64
11110530,1900,9970.2,22778.02
11110530,1920,8123.86,18827.76
11110530,1940,7056.98,16930.97
11110530,20,17876.5,42915.25
11110530,21,13054.37,31191.329999999998
11110530,22,7201.39,18061.77
11110530,23,1053.59,3160.38
11110540,00,155.52,502.71
11110540,01,348.91,1076.15
11110540,02,334.47,990.3
11110540,03,338.77,1083.8600000000001
11110540,04,832.9300000000001,2785.69
11110540,05,2708.79,8765.72
11110540,06,6377.97,25979.75
11110540,0700,3238.12,11991.25
11110540,0720,4015.21,12165.06
11110540,0740,4308.68,11643.57
11110540,0800,5249.49,13198.91
11110540,0820,5520.04,13116.44
11110540,0840,4074.54,11096.87
11110540,0900,4014.85,12166.09
11110540,0920,4098.7,12484.11
11110540,0940,4114.22,12352.16
11110540,10,12464.7,39771.39
11110540,11,18764.45,50740.340000000004
11110540,12,18549.66,47860.29
11110540,13,17688.4,43066.18
11110540,14,16016.32,38123.71
11110540,15,13888.02,31142.25
11110540,16,11208.79,26032.02
11110540,1700,3346.58,8219.18
11110540,1720,3357.42,7646.31
11110540,1740,3169.7599999999998,6965.18
11110540,1800,3124.6,6926.38
11110540,1820,1976.61,4714.1
11110540,1840,1523.23,3792.5299999999997
11110540,1900,1328.24,3388.98
11110540,1920,1225.6200000000001,2764.8
