d_admdong_cd,d_gu_name,d_admdong_name,residential_filter,candidate_type,adjusted_mobility_score,mobility_score,residential_dominance_score,cnt_2030,avg_daily_2030,date_count,share_2030,young_single_households,young_single_ratio,young_homebound_ratio,origin_diversity,evening_2030_ratio,avg_move_time_2030,morning_2030_ratio,afternoon_2030_ratio,late_night_2030_ratio,weekday_2030_ratio,friday_2030_ratio,weekend_2030_ratio,avg_move_dist_2030,total_cnt,d_center_x,d_center_y,weighted_move_time_2030,weighted_move_dist_2030,evening_2030_cnt,morning_2030_cnt,afternoon_2030_cnt,late_night_2030_cnt,weekday_2030_cnt,friday_2030_cnt,weekend_2030_cnt,row_count,active_days,d_gu_cd,d_area_sqm,gu_name,admdong_name,living_admdong_cd,young_population,young_low_weekend_outing_group,young_very_low_outing_group,residential_match_note,residential_penalty,visit_pattern_type,commercial_zone_ratio,residential_zone_ratio,total_sales,sales_per_store,food_sales_ratio,daytime_influx_ratio,commercial_potential_score
11170650,용산구,이태원1동,혼재형 (상권+거주),야간 소비형,2.9262204687303015,4.39928171699837,2.1043732118115273,316097.71,10536.590333333334,30,0.5029616156994409,1121.33,0.3865322302654257,0.08333678042054464,626,0.19460213742136884,41.46899627966302,0.02095424860876088,0.33968914232248,0.10923672936447403,0.44035731862783817,0.17273940390140755,0.3869032774707542,10069.747875459141,628472.83,199403.0,448207.0,13108254.76,3183024243.71,61513.29,6623.59,107374.96,34529.479999999996,139195.94,54602.53,122299.24,124185,30,11170,582899.0,용산구,이태원1동,1103065,2901.0,149.36,92.4,매칭,2.1043732118115273,목적 방문형,0.0,0.0,0.0,0.0,0.0,1.0,3.4262204687303015
11740620,강동구,천호3동,방문성 검토,야간 소비형,2.6633090987007613,3.180726227752311,0.7391673272165001,431318.37,14377.279,30,0.3574015233357014,2086.82,0.24527738598965682,0.03904913023037142,642,0.21433320820534493,39.044309798351506,0.015403517360041957,0.3090526842156062,0.07183457082989533,0.5851877349902811,0.1414794598245375,0.2733328051851814,8183.275538136713,1206817.38,211781.0,448918.0,16840528.06,3529597066.37,92445.85,6643.82,133300.1,30983.57,252402.22,61022.69,117893.45999999999,170739,30,11740,561872.0,강동구,천호3동,1125063,8508.0,174.78,157.45,매칭,0.7391673272165001,목적 방문형,0.0,0.0,0.0,0.0,0.0,1.0,3.1633090987007613
11710562,송파구,방이2동,혼재형 (상권+거주),광역 목적지형,2.413192441511054,4.385580071082336,2.81769661367326,881963.25,29398.775,30,0.45276347927009697,4094.32,0.38860288534548215,0.05364939255884586,646,0.1915254858975133,39.43065446321034,0.018969985427397345,0.3175352260992734,0.062085976938381505,0.5583635372562292,0.15199780716486772,0.28963865557890306,8802.385793535048,1947955.81,210069.0,445980.0,34776388.16,7763380782.22,168918.44,16730.83,280054.4,54757.55,492456.12,134056.48,255450.65,252144,30,11710,769841.0,송파구,방이2동,1124058,10536.0,353.37,211.88,매칭,2.81769661367326,목적 방문형,0.0,0.0,0.0,0.0,0.0,1.0,2.913192441511054
11440655,마포구,서강동,혼재형 (상권+거주),관찰 필요,2.830087203868864,3.9517246783761646,1.6023392492961441,847365.3099999999,28245.51033333333,30,0.5159002786401734,3025.7000000000003,0.3004368980240294,0.04220534207129382,629,0.11474806538870468,39.545980115707124,0.015119783461515554,0.4272510518515326,0.04594078792297976,0.6304457755061982,0.1444071270748622,0.22514709741893968,8480.357817621776,1642498.26,193463.0,449693.0,33509891.7,7185961031.04,97233.53,12811.98,362037.72,38928.63,534217.88,122365.59,190781.84,223623,30,11440,1478577.0,마포구,서강동,1114076,10071.0,260.93,164.12,매칭,1.6023392492961441,생활 밀착형,0.0,0.0,0.0,0.0,0.0,1.0,2.830087203868864
11500591,강서구,화곡6동,방문성 검토,야간 소비형,2.286359151712812,2.814448308365691,0.7544130809326841,406329.73,13544.324333333332,30,0.35596729860913084,2013.5,0.24093574249132463,0.042415938733995455,624,0.19779175400234683,38.66770959634187,0.02521009230606877,0.2989591482759581,0.08679788210427034,0.6024275408053454,0.13902142971423725,0.2585510294804173,8496.750573899675,1141480.5,186854.0,450255.0,15711840.0,3452482366.57,80368.67,10243.61,121475.99,35268.56,244784.22,56488.54,105056.97,146648,30,11500,1037911.0,강서구,화곡6동,1116061,8357.0,190.53,163.94,매칭,0.7544130809326841,목적 방문형,0.0,0.0,0.0,0.0,0.0,1.0,2.786359151712812
11590510,동작구,노량진1동,혼재형 (상권+거주),관찰 필요,2.7113884583078307,3.874775614758599,1.6619816520725266,627263.42,20908.78066666667,30,0.44593822278569945,3250.19,0.2550168693605335,0.05359591996861514,639,0.17600825503263048,38.796886354380426,0.03669093281415964,0.3349201998739222,0.06595500180769348,0.6022982019260743,0.1419671499415668,0.2557346481323588,8533.971864563693,1406615.06,195487.0,445863.0,24335867.62,5353048377.95,110403.54000000001,23014.88,210083.19,41371.159999999996,377799.63,89050.8,160412.99,196698,30,11590,1613446.0,동작구,노량진1동,1120072,12745.0,283.37,399.71,매칭,1.6619816520725266,불명확,0.0,0.0,0.0,0.0,0.0,1.0,2.7113884583078307
11500530,강서구,등촌2동,방문성 검토,관찰 필요,2.1674614732800945,2.1674614732800945,-1.1653632981937005,217183.76,7239.458666666667,30,0.31401848943788074,861.73,0.14252894475686403,0.02986437313926563,612,0.21452828701372514,38.89632263480473,0.021872169447660357,0.29486974532534105,0.0770507886961714,0.5996517419166147,0.14429665459332686,0.25605160349005834,9768.358893040622,691627.3,187630.0,449601.0,8447649.6,2121528913.42,46592.06,4750.28,64040.92,16734.18,130234.62,31338.89,55610.25,115141,30,11500,910666.0,강서구,등촌2동,1116053,6046.0,96.21000000000001,84.35,매칭,0.0,목적 방문형,0.0,0.0,0.0,0.0,0.0,1.0,2.6674614732800945
11170560,용산구,원효로1동,방문성 검토,관찰 필요,2.662497137054987,3.027200337786196,0.5210045724731556,346045.53,11534.851,30,0.41947851619180115,1595.85,0.2683905146316852,0.036062899428187016,630,0.16327192551800912,39.613035342488025,0.030249429894384127,0.315128936934975,0.06725120824418682,0.620968951686791,0.14384188115361582,0.23518916715959312,8699.620873501817,824942.2,197044.0,448666.0,13707913.81,3010464915.97,56499.52,10467.68,109048.96,23271.98,214883.53,49775.840000000004,81386.16,140098,30,11170,589017.0,용산구,원효로1동,1103072,5946.0,143.11,71.32,매칭,0.5210045724731556,생활 밀착형,0.0,0.0,0.0,0.0,0.0,1.0,2.662497137054987
11200690,성동구,성수2가3동,방문성 검토,광역 목적지형,2.650809282933825,3.17405686129655,0.7474965405181784,1176805.98,39226.866,30,0.5052184446898305,1119.97,0.2946514075243357,0.05382267824256775,645,0.05144517535507425,47.9923103976749,0.03782612491483091,0.43942729624810367,0.02618644069092851,0.6048479376353951,0.15459567939992963,0.2405563829646753,10445.227510570603,2329301.3,205133.0,449563.0,56477637.87,12292006196.9,60540.99,44514.01,517120.67,30816.36,711788.67,181929.12,283088.19,365379,30,11200,1054501.0,성동구,성수2가3동,1104068,3801.0,118.21000000000001,86.37,매칭,0.7474965405181784,불명확,0.0,0.0,0.0,0.0,0.0,1.0,2.650809282933825
11710710,송파구,잠실6동,방문성 검토,광역 목적지형,2.639383018141251,2.639383018141251,-3.173074755875258,1548562.28,51618.742666666665,30,0.445554313277392,209.32,0.05383744855967078,0.03628086419753086,646,0.05345945789148371,44.41041746154375,0.03187612835306824,0.48913660095091555,0.01912778735641165,0.5660309445222959,0.141823330476576,0.2921457250011281,10337.08888328986,3475585.88,208793.0,446703.0,68772297.32000001,16007625929.67,82785.3,49362.17,757458.49,29620.57,876534.17,219622.26,452405.85,386943,30,11710,1508001.0,송파구,잠실6동,1124077,3888.0,17.52,123.54,매칭,0.0,불명확,0.0,0.0,0.0,0.0,0.0,1.0,2.639383018141251
