d_admdong_cd,d_gu_name,d_admdong_name,residential_filter,candidate_type,adjusted_mobility_score,mobility_score,residential_dominance_score,cnt_2030,avg_daily_2030,date_count,share_2030,young_single_households,young_single_ratio,young_homebound_ratio,origin_diversity,evening_2030_ratio,avg_move_time_2030,morning_2030_ratio,afternoon_2030_ratio,late_night_2030_ratio,weekday_2030_ratio,friday_2030_ratio,weekend_2030_ratio,avg_move_dist_2030,total_cnt,d_center_x,d_center_y,weighted_move_time_2030,weighted_move_dist_2030,evening_2030_cnt,morning_2030_cnt,afternoon_2030_cnt,late_night_2030_cnt,weekday_2030_cnt,friday_2030_cnt,weekend_2030_cnt,row_count,active_days,d_gu_cd,d_area_sqm,gu_name,admdong_name,living_admdong_cd,young_population,young_low_weekend_outing_group,young_very_low_outing_group,residential_match_note,residential_penalty,visit_pattern_type,commercial_zone_ratio,residential_zone_ratio,total_sales,sales_per_store,food_sales_ratio,daytime_influx_ratio,commercial_potential_score
11170650,용산구,이태원1동,혼재형 (상권+거주),야간 소비형,2.9262204687303015,4.39928171699837,2.1043732118115273,316097.71,10536.590333333334,30,0.5029616156994409,1121.33,0.3865322302654257,0.08333678042054464,626,0.19460213742136884,41.46899627966302,0.02095424860876088,0.33968914232248,0.10923672936447403,0.44035731862783817,0.17273940390140755,0.3869032774707542,10069.747875459141,628472.83,199403.0,448207.0,13108254.76,3183024243.71,61513.29,6623.59,107374.96,34529.479999999996,139195.94,54602.53,122299.24,124185,30,11170,582899.0,용산구,이태원1동,1103065,2901.0,149.36,92.4,매칭,2.1043732118115273,목적 방문형,0.0,0.0,0.0,0.0,0.0,1.0,3.4262204687303015
11440655,마포구,서강동,혼재형 (상권+거주),관찰 필요,2.830087203868864,3.9517246783761646,1.6023392492961441,847365.3099999999,28245.51033333333,30,0.5159002786401734,3025.7000000000003,0.3004368980240294,0.04220534207129382,629,0.11474806538870468,39.545980115707124,0.015119783461515554,0.4272510518515326,0.04594078792297976,0.6304457755061982,0.1444071270748622,0.22514709741893968,8480.357817621776,1642498.26,193463.0,449693.0,33509891.7,7185961031.04,97233.53,12811.98,362037.72,38928.63,534217.88,122365.59,190781.84,223623,30,11440,1478577.0,마포구,서강동,1114076,10071.0,260.93,164.12,매칭,1.6023392492961441,생활 밀착형,0.0,0.0,0.0,0.0,0.0,1.0,2.830087203868864
11590510,동작구,노량진1동,혼재형 (상권+거주),관찰 필요,2.7113884583078307,3.874775614758599,1.6619816520725266,627263.42,20908.78066666667,30,0.44593822278569945,3250.19,0.2550168693605335,0.05359591996861514,639,0.17600825503263048,38.796886354380426,0.03669093281415964,0.3349201998739222,0.06595500180769348,0.6022982019260743,0.1419671499415668,0.2557346481323588,8533.971864563693,1406615.06,195487.0,445863.0,24335867.62,5353048377.95,110403.54000000001,23014.88,210083.19,41371.159999999996,377799.63,89050.8,160412.99,196698,30,11590,1613446.0,동작구,노량진1동,1120072,12745.0,283.37,399.71,매칭,1.6619816520725266,불명확,0.0,0.0,0.0,0.0,0.0,1.0,2.7113884583078307
11440680,마포구,합정동,혼재형 (상권+거주),관찰 필요,2.5596485792991306,3.8267903634174685,1.8102025487404827,677250.34,22575.011333333332,30,0.5102370412814973,2444.17,0.3530507005633396,0.045890509894554385,630,0.11861423354914817,40.25870358367041,0.01630413356455458,0.4294264658471784,0.039311268562818295,0.5433222964494931,0.14815821281093783,0.3085194907395691,8971.48921825569,1327324.92,191955.0,449720.0,27265220.69,6075944123.37,80331.53,11041.98,290829.22,26623.57,367965.21,100340.2,208944.93,201104,30,11440,1712389.0,마포구,합정동,1114068,6923.0,174.67,143.03,매칭,1.8102025487404827,불명확,0.0,0.0,0.0,0.0,0.0,1.0,2.5596485792991306
11710562,송파구,방이2동,혼재형 (상권+거주),광역 목적지형,2.413192441511054,4.385580071082336,2.81769661367326,881963.25,29398.775,30,0.45276347927009697,4094.32,0.38860288534548215,0.05364939255884586,646,0.1915254858975133,39.43065446321034,0.018969985427397345,0.3175352260992734,0.062085976938381505,0.5583635372562292,0.15199780716486772,0.28963865557890306,8802.385793535048,1947955.81,210069.0,445980.0,34776388.16,7763380782.22,168918.44,16730.83,280054.4,54757.55,492456.12,134056.48,255450.65,252144,30,11710,769841.0,송파구,방이2동,1124058,10536.0,353.37,211.88,매칭,2.81769661367326,목적 방문형,0.0,0.0,0.0,0.0,0.0,1.0,2.913192441511054
11200660,성동구,성수1가2동,혼재형 (상권+거주),광역 목적지형,2.3196876037185947,3.016722278335372,0.9957638208811109,737666.33,24588.877666666664,30,0.49354157291351797,1523.26,0.3010395256916996,0.04834584980237154,635,0.07063080946096592,43.798473925195964,0.030413683107916832,0.4206056280215474,0.03034986021389915,0.6178413077359787,0.15318434013383803,0.22897435213018333,9218.538573341148,1494638.69,203857.0,449945.0,32308659.52,6800205517.36,52101.97,22435.15,310266.61,22388.07,455760.73,112998.93000000001,168906.67,246612,30,11200,930086.0,성동구,성수1가2동,1104066,5060.0,127.94999999999999,116.67999999999999,매칭,0.9957638208811109,생활 밀착형,0.0,0.0,0.0,0.0,0.0,1.0,2.3196876037185947
11170520,용산구,용산2가동,혼재형 (상권+거주),소규모 2030 집중형,2.155667665265624,2.8348248595445513,0.9702245632556106,232982.86,7766.095333333333,30,0.456150358688799,1290.21,0.3345980290456432,0.04570539419087137,623,0.13571075571825328,46.495406486125205,0.021971659202741353,0.454898484806994,0.057613551486147954,0.48035404836218426,0.13910164893675012,0.3805443027010657,10231.081686609907,510758.91,198681.0,448712.0,10832632.78,2383666672.24,31618.28,5119.0199999999995,105983.55,13422.97,111914.26,32408.3,88660.3,101218,30,11170,1966853.0,용산구,용산2가동,1103052,3856.0,107.62,68.62,매칭,0.9702245632556106,불명확,0.0,0.0,0.0,0.0,0.0,1.0,2.155667665265624
11710580,송파구,송파1동,혼재형 (상권+거주),광역 목적지형,2.149018882854369,3.3284013241867623,1.684832059046276,649905.76,21663.525333333335,30,0.44482563544034803,3007.46,0.3213441607009296,0.04015920504327385,640,0.13670335834536995,42.63860015642883,0.014243972849232787,0.4181212211444318,0.04281571531232466,0.5394162070513115,0.14020461982057214,0.32037917312811626,9340.118418214974,1461034.86,209758.0,445307.0,27711071.84,6070196759.08,88844.3,9257.24,271739.39,27826.18,350569.7,91119.79,208216.27,204437,30,11710,686925.0,송파구,송파1동,1124061,9359.0,197.26,178.59,매칭,1.684832059046276,불명확,0.0,0.0,0.0,0.0,0.0,1.0,2.149018882854369
11440710,마포구,연남동,혼재형 (상권+거주),관찰 필요,2.1192260451462954,4.185287261731547,2.9515160236932174,544617.36,18153.912,30,0.5459357456916282,2959.79,0.44255233253588516,0.05896082535885167,632,0.12125979605203918,42.75306016686652,0.016498647784565664,0.4512812077822859,0.0495242935333534,0.518612609043531,0.14082779146077898,0.34055959949569,9145.883727044617,997585.09,193068.0,451501.0,23284058.76,4981007050.29,66040.19,8985.45,245775.58000000002,26971.79,282445.43,76697.26,185474.67,152236,30,11440,647438.0,마포구,연남동,1114071,6688.0,306.39,87.94,매칭,2.9515160236932174,불명확,0.0,0.0,0.0,0.0,0.0,1.0,2.1192260451462954
11440690,마포구,망원1동,혼재형 (상권+거주),관찰 필요,2.0363645948383122,2.9396553027565675,1.290415297026079,462296.32,15409.877333333334,30,0.4317444264834345,2113.73,0.30487956151738066,0.04451175537285447,632,0.1354238337869529,43.70015134448831,0.009873796962087001,0.4645929043951723,0.04691304918888387,0.5185974009051164,0.13725791717312394,0.3441446819217596,8906.88450020541,1070763.84,191142.0,450460.0,20202419.15,4117619927.11,62605.94,4564.62,214779.59,21687.73,239745.67,63453.83,159096.82,159250,30,11440,1101005.0,마포구,망원1동,1114069,6933.0,140.79,167.81,매칭,1.290415297026079,불명확,0.0,0.0,0.0,0.0,0.0,1.0,2.0363645948383122
