d_admdong_cd,d_gu_name,d_admdong_name,residential_filter,candidate_type,adjusted_mobility_score,mobility_score,residential_dominance_score,cnt_2030,avg_daily_2030,date_count,share_2030,young_single_households,young_single_ratio,young_homebound_ratio,origin_diversity,evening_2030_ratio,avg_move_time_2030,morning_2030_ratio,afternoon_2030_ratio,late_night_2030_ratio,weekday_2030_ratio,friday_2030_ratio,weekend_2030_ratio,avg_move_dist_2030,total_cnt,d_center_x,d_center_y,weighted_move_time_2030,weighted_move_dist_2030,evening_2030_cnt,morning_2030_cnt,afternoon_2030_cnt,late_night_2030_cnt,weekday_2030_cnt,friday_2030_cnt,weekend_2030_cnt,row_count,active_days,d_gu_cd,d_area_sqm,gu_name,admdong_name,living_admdong_cd,young_population,young_low_weekend_outing_group,young_very_low_outing_group,residential_match_note,residential_penalty,visit_pattern_type,commercial_zone_ratio,residential_zone_ratio,total_sales,sales_per_store,food_sales_ratio,daytime_influx_ratio,commercial_potential_score
11620695,관악구,신림동,2030 자취/거주성 높음,핵심 후보형,-0.034033517408066594,5.624727283352112,8.08394400108597,640581.35,21352.711666666666,30,0.541108566745569,10974.6,0.804471485119484,0.1085984459756634,648,0.21584226577935808,40.410691241635426,0.01730518692122398,0.28860819941136284,0.08732040044562646,0.5967934595660646,0.14323005188958438,0.2599764885443512,8732.244831323922,1183831.47,193559.0,443079.0,25886335.15,5593713182.58,138264.53,11085.38,184877.03,55935.82,382294.76,91750.5,166536.09,193549,30,11620,541240.0,관악구,신림동,1121069,13642.0,1284.3600000000001,197.14,매칭,8.08394400108597,목적 방문형,0.0,0.0,0.0,0.0,0.0,1.0,0.4659664825919334
11215710,광진구,화양동,2030 자취/거주성 높음,관찰 필요,0.34975643643544796,5.59646091350898,7.495292110105046,1408530.97,46951.03233333333,30,0.5824011825233704,13309.15,0.7152765088407589,0.10042672112645779,648,0.1500429486474124,37.41440843150222,0.02015166198298075,0.38396494753679433,0.056087471047938695,0.6300982079222581,0.1383339338289452,0.2315678582487966,7664.550746101097,2418489.2,206486.0,449309.0,52699353.0,10795757097.02,211340.13999999998,28384.239999999998,540826.52,79000.94,887512.84,194847.63,326170.5,304952,30,11215,1166008.0,광진구,화양동,1105053,18607.0,1621.96,246.68,매칭,7.495292110105046,생활 밀착형,0.0,0.0,0.0,0.0,0.0,1.0,0.34975643643544796
11290600,성북구,안암동,2030 자취/거주성 높음,관찰 필요,-0.5684442742010072,4.049472145369672,6.597023456529541,1029049.98,34301.666,30,0.529617521700603,6793.31,0.6482784616852754,0.11245347838534211,638,0.09998274330659819,33.722239944069585,0.021822292829741855,0.46226872284667847,0.0422035866518359,0.7313875949931995,0.13151480747319969,0.13709759753360085,5900.53863745277,1943005.92,202404.0,454241.0,34701870.34,6071949166.86,102887.24,22456.23,475697.62,43429.6,752634.39,135335.31,141080.28,230867,30,11290,1379571.0,성북구,안암동,1108060,10479.0,1019.64,158.76000000000002,매칭,6.597023456529541,생활 밀착형,0.0,0.0,0.0,0.0,0.0,1.0,-0.5684442742010072
11545510,금천구,가산동,2030 자취/거주성 높음,광역 목적지형,-1.438339728863688,3.1026605547102544,6.48714326224849,1854841.79,61828.05966666667,30,0.45844070596795133,8041.75,0.6512593132491091,0.09974975704567542,648,0.06805083898826757,43.844650324597225,0.07167587053341083,0.2506777357005742,0.037333038522924376,0.7240709731906569,0.16604662007318696,0.1098824067361562,10061.911463467728,4045979.7,189721.0,441920.0,81324889.69,18663253869.72,126223.54000000001,132947.4,464967.54,69246.88,1343037.1,307990.21,203814.48,412469,30,11545,2512852.0,금천구,가산동,1118051,12348.0,1026.56,205.15,매칭,6.48714326224849,생활 밀착형,0.0,0.0,0.0,0.0,0.0,1.0,-1.438339728863688
11620735,관악구,대학동,2030 자취/거주성 높음,관찰 필요,-0.42100887380395857,3.9084047242758544,6.184876568685447,1045005.55,34833.51833333333,30,0.5143884059182056,8022.62,0.6625883713247439,0.08473323422530558,645,0.09999287563592366,36.05117698178732,0.023756208758891277,0.408238702655694,0.03896594616172134,0.7074119558503781,0.1401938200232525,0.15239422412636947,6910.572215372445,2031549.58,195445.0,439279.0,37673680.03,7221586318.74,104493.11,24825.37,426611.71,40719.63,739249.42,146503.32,159252.81,236537,30,11620,8405183.0,관악구,대학동,1121073,12108.0,666.72,359.23,매칭,6.184876568685447,생활 밀착형,0.0,0.0,0.0,0.0,0.0,1.0,-0.42100887380395857
11230740,동대문구,이문1동,2030 자취/거주성 높음,관찰 필요,-0.6644258631267497,3.6359212548962625,6.143353025747161,766523.07,25550.768999999997,30,0.4790680559909641,7776.43,0.6105865263819096,0.09842101130653266,634,0.12548660798950254,37.94494356184218,0.020931581354752964,0.4326920910547415,0.05620934540169809,0.6881307042722147,0.13366540944423239,0.17820388628355308,7099.27047326834,1600029.6,205338.0,455313.0,29085674.63,5441754597.93,96188.38,16044.539999999999,331668.47,43085.76,527468.06,102457.62,136597.38999999998,216661,30,11230,1039602.0,동대문구,이문1동,1106089,12736.0,996.21,257.28000000000003,매칭,6.143353025747161,생활 밀착형,0.0,0.0,0.0,0.0,0.0,1.0,-0.6644258631267497
11680640,강남구,역삼1동,2030 자취/거주성 높음,광역 목적지형,-0.008653162489332011,4.22043248339269,6.041550922688604,3872521.22,129084.04066666667,30,0.5215861596431783,10964.09,0.6298305376838236,0.07389016544117646,654,0.06482117869453533,48.035562439087165,0.05091426974801703,0.3399818916938046,0.038422056729233364,0.6691129584049121,0.16310134512316501,0.16778569647192276,11366.268386260774,7424509.16,203139.0,444598.0,186018734.86,44016115518.01,251021.38999999998,197166.59,1316587.09,148790.23,2591154.13,631613.42,649753.67,710018,30,11680,2362133.0,강남구,역삼1동,1123064,17408.0,872.37,413.91,매칭,6.041550922688604,생활 밀착형,0.0,0.0,0.0,0.0,0.0,1.0,-0.008653162489332011
11410585,서대문구,신촌동,2030 자취/거주성 높음,광역 목적지형,0.6799441516120224,4.855764704282899,5.965457932386967,2472196.95,82406.565,30,0.5655016752784773,10843.58,0.550938928970633,0.09251905294177422,652,0.08991748412277589,39.31330821761591,0.02450740423411654,0.4615708590692987,0.036138213017373064,0.6919173814206024,0.13960354574501033,0.16847907283438723,7490.954161152087,4371688.11,194838.0,451617.0,97190240.67,18519114029.79,222293.73,60587.13,1141094.07,89340.78,1710556.04,345127.46,416513.45,440827,30,11410,2720364.0,서대문구,신촌동,1113075,19682.0,1623.24,197.72,매칭,5.965457932386967,생활 밀착형,0.0,0.0,0.0,0.0,0.0,1.0,0.6799441516120224
11620595,관악구,청룡동,2030 자취/거주성 높음,핵심 후보형,0.3936529817361585,4.530178690036481,5.909322440429031,796621.52,26554.050666666666,30,0.45641605667500706,10719.9,0.6454271780360046,0.06542115720392558,642,0.20371428077915846,39.18085367565767,0.013387649884226074,0.32183300797598335,0.057154494144220455,0.6111665424253163,0.13978636931625948,0.24904708825842414,8318.008203920977,1745384.52,195207.0,442070.0,31212311.21,6626304338.78,162283.18,10664.89,256379.1,45530.5,486868.42,111356.83,198396.27,237345,30,11620,1195604.0,관악구,청룡동,1121080,16609.0,893.44,193.14,매칭,5.909322440429031,불명확,0.0,0.0,0.0,0.0,0.0,1.0,0.3936529817361585
11200550,성동구,사근동,2030 자취/거주성 높음,생활권형,0.1534281457956257,4.120512232335742,5.6672629807715955,953901.58,31796.71933333333,30,0.5354944398798906,5260.51,0.5871760241098337,0.10307958477508651,631,0.10515096326813926,36.03966711114998,0.021327986478437325,0.4470656186563817,0.042219313652882305,0.7007513919832274,0.1378387170718388,0.16140989094493374,6537.930744333184,1781347.31,204011.0,450956.0,34378295.4,6236542466.95,100303.67,20344.8,426456.6,40273.07,668447.86,131484.57,153969.15,223884,30,11200,1169216.0,성동구,사근동,1104055,8959.0,774.93,148.56,매칭,5.6672629807715955,생활 밀착형,0.0,0.0,0.0,0.0,0.0,1.0,0.1534281457956257
