date,line_name,station_name,board_count,alight_count,registered_date,total_count,weekday,is_weekend
2026-04-01,7호선,남구로,17856,18884,2026-04-04,36740,Wednesday,False
2026-04-01,7호선,어린이대공원(세종대),23715,24851,2026-04-04,48566,Wednesday,False
2026-04-01,7호선,건대입구,17176,17571,2026-04-04,34747,Wednesday,False
2026-04-01,7호선,자양(뚝섬한강공원),13273,12921,2026-04-04,26194,Wednesday,False
2026-04-01,7호선,청담,21731,23370,2026-04-04,45101,Wednesday,False
2026-04-01,7호선,강남구청,19035,21020,2026-04-04,40055,Wednesday,False
2026-04-01,7호선,학동,27227,27944,2026-04-04,55171,Wednesday,False
2026-04-01,7호선,논현,21966,22559,2026-04-04,44525,Wednesday,False
2026-04-01,7호선,반포,7999,7659,2026-04-04,15658,Wednesday,False
2026-04-01,7호선,고속터미널,18043,16449,2026-04-04,34492,Wednesday,False
2026-04-01,7호선,내방,17832,17886,2026-04-04,35718,Wednesday,False
2026-04-01,7호선,이수,19770,19402,2026-04-04,39172,Wednesday,False
2026-04-01,7호선,남성,13159,12821,2026-04-04,25980,Wednesday,False
2026-04-01,7호선,숭실대입구(살피재),18970,19313,2026-04-04,38283,Wednesday,False
2026-04-01,7호선,상도,15302,15423,2026-04-04,30725,Wednesday,False
2026-04-01,7호선,장승배기,11306,11037,2026-04-04,22343,Wednesday,False
2026-04-01,7호선,신대방삼거리,17417,16888,2026-04-04,34305,Wednesday,False
2026-04-01,7호선,보라매,7823,8297,2026-04-04,16120,Wednesday,False
2026-04-01,7호선,신풍,14034,13317,2026-04-04,27351,Wednesday,False
2026-04-01,7호선,대림(구로구청),9421,9333,2026-04-04,18754,Wednesday,False
2026-04-01,7호선,가산디지털단지,52486,53477,2026-04-04,105963,Wednesday,False
2026-04-01,7호선,철산,26294,27009,2026-04-04,53303,Wednesday,False
2026-04-01,7호선,광명사거리,26068,25670,2026-04-04,51738,Wednesday,False
2026-04-01,7호선,천왕,14157,13754,2026-04-04,27911,Wednesday,False
2026-04-01,7호선,온수(성공회대입구),12747,11667,2026-04-04,24414,Wednesday,False
2026-04-01,8호선,암사역사공원,8718,7646,2026-04-04,16364,Wednesday,False
2026-04-01,8호선,암사,18521,17209,2026-04-04,35730,Wednesday,False
2026-04-01,8호선,천호(풍납토성),20274,22661,2026-04-04,42935,Wednesday,False
2026-04-01,8호선,강동구청,12518,12948,2026-04-04,25466,Wednesday,False
2026-04-01,8호선,몽촌토성(평화의문),9822,9870,2026-04-04,19692,Wednesday,False
2026-04-01,8호선,잠실(송파구청),24109,26996,2026-04-04,51105,Wednesday,False
2026-04-01,8호선,석촌,11371,13581,2026-04-04,24952,Wednesday,False
2026-04-01,8호선,송파,11677,11474,2026-04-04,23151,Wednesday,False
2026-04-01,8호선,가락시장,9830,10660,2026-04-04,20490,Wednesday,False
2026-04-01,8호선,문정,27840,29189,2026-04-04,57029,Wednesday,False
2026-04-01,8호선,장지,20131,18560,2026-04-04,38691,Wednesday,False
2026-04-01,8호선,복정,12120,10317,2026-04-04,22437,Wednesday,False
2026-04-01,8호선,산성,7437,7705,2026-04-04,15142,Wednesday,False
2026-04-01,8호선,남한산성입구(성남법원.검찰청),16782,15615,2026-04-04,32397,Wednesday,False
2026-04-01,8호선,단대오거리,14691,13977,2026-04-04,28668,Wednesday,False
2026-04-01,8호선,신흥,6160,6268,2026-04-04,12428,Wednesday,False
2026-04-01,8호선,수진,6543,6247,2026-04-04,12790,Wednesday,False
2026-04-01,8호선,모란,5632,4408,2026-04-04,10040,Wednesday,False
2026-04-01,8호선,남위례,9927,9862,2026-04-04,19789,Wednesday,False
2026-04-01,9호선,개화,2908,1978,2026-04-04,4886,Wednesday,False
2026-04-01,9호선,김포공항,6061,10921,2026-04-04,16982,Wednesday,False
2026-04-01,9호선,공항시장,3180,3384,2026-04-04,6564,Wednesday,False
2026-04-01,9호선,신방화,8116,8055,2026-04-04,16171,Wednesday,False
2026-04-01,9호선,마곡나루(서울식물원),18198,17771,2026-04-04,35969,Wednesday,False
2026-04-01,9호선,양천향교,13302,13796,2026-04-04,27098,Wednesday,False
2026-04-01,9호선,가양,25529,25016,2026-04-04,50545,Wednesday,False
2026-04-01,9호선,증미,9640,9412,2026-04-04,19052,Wednesday,False
2026-04-01,9호선,등촌,14664,14138,2026-04-04,28802,Wednesday,False
2026-04-01,9호선,염창,20704,19890,2026-04-04,40594,Wednesday,False
2026-04-01,9호선,신목동,5567,5098,2026-04-04,10665,Wednesday,False
2026-04-01,9호선,선유도,11425,10482,2026-04-04,21907,Wednesday,False
2026-04-01,9호선,당산,21937,21625,2026-04-04,43562,Wednesday,False
2026-04-01,9호선,국회의사당,24951,25026,2026-04-04,49977,Wednesday,False
2026-04-01,9호선,여의도,37040,36068,2026-04-04,73108,Wednesday,False
2026-04-01,9호선,샛강,8283,8162,2026-04-04,16445,Wednesday,False
2026-04-01,9호선,노량진,30147,30398,2026-04-04,60545,Wednesday,False
2026-04-01,9호선,노들,5699,4772,2026-04-04,10471,Wednesday,False
2026-04-01,9호선,흑석(중앙대입구),13048,13188,2026-04-04,26236,Wednesday,False
2026-04-01,9호선,동작(현충원),2839,2504,2026-04-04,5343,Wednesday,False
2026-04-01,9호선,구반포,2872,2554,2026-04-04,5426,Wednesday,False
2026-04-01,9호선,신반포,5690,5624,2026-04-04,11314,Wednesday,False
2026-04-01,9호선,고속터미널,15843,20296,2026-04-04,36139,Wednesday,False
2026-04-01,9호선,사평,4852,4771,2026-04-04,9623,Wednesday,False
