station_name,subway_board_count,subway_alight_count,subway_total_count,subway_weekend_total,subway_weekday_total,subway_weekend_share
서울역,3778183,3743617,7521800,1733790,5788010,0.2305020074982052
잠실(송파구청),3420895,3469451,6890346,1762283,5128063,0.2557611765795216
홍대입구,2930297,3050531,5980828,1754305,4226523,0.2933214263978165
고속터미널,2671888,2679066,5350954,1549276,3801678,0.2895326702490808
강남,2444139,2397022,4841161,832482,4008679,0.17195916434095043
사당,2187958,2224609,4412567,1004114,3408453,0.22755779119047936
선릉,2051105,2028841,4079946,462273,3617673,0.11330370549021972
여의도,1827048,1857916,3684964,509305,3175659,0.13821166231203344
가산디지털단지,1770452,1859986,3630438,348228,3282210,0.09591900481429513
신림,1814126,1792999,3607125,771445,2835680,0.2138669993415809
성수,1714861,1839125,3553986,810982,2743004,0.22818941886659092
구로디지털단지,1751892,1727194,3479086,568733,2910353,0.16347195786479551
건대입구,1701894,1747232,3449126,821766,2627360,0.23825340100651585
종로3가,1725926,1705322,3431248,848381,2582867,0.247251437377887
신도림,1694370,1643766,3338136,752241,2585895,0.2253476191503282
삼성(무역센터),1656945,1655126,3312071,555449,2756622,0.16770443628774867
을지로입구,1612293,1646555,3258848,587560,2671288,0.18029684109231237
수원,1601948,1652814,3254762,901473,2353289,0.2769704820198835
시청,1636856,1582627,3219483,463210,2756273,0.14387713803738053
합정,1496685,1592837,3089522,803539,2285983,0.26008521706594095
역삼,1447131,1627613,3074744,298767,2775977,0.09716808944094207
용산,1466583,1486330,2952913,895879,2057034,0.30338821360466767
서울대입구(관악구청),1490188,1425634,2915822,575794,2340028,0.19747227368474482
교대(법원.검찰청),1444623,1406517,2851140,385418,2465722,0.13518031383937654
노원,1290024,1404998,2695022,554932,2140090,0.2059100074136686
영등포,1327025,1332813,2659838,716881,1942957,0.26952054974776657
청량리(서울시립대입구),1325268,1331118,2656386,684413,1971973,0.2576481731194186
신촌,1290696,1301604,2592300,561835,2030465,0.21673224549627743
공덕,1282609,1298483,2581092,431177,2149915,0.1670521624180773
천호(풍납토성),1238558,1294820,2533378,565134,1968244,0.22307527735695187
당산,1233025,1288499,2521524,486402,2035122,0.19290000809034535
명동,1229348,1289220,2518568,629839,1888729,0.250078219051461
동대문역사문화공원(DDP),1234244,1236930,2471174,575980,1895194,0.23307949986524623
혜화,1207338,1210428,2417766,558674,1859092,0.23107033517718423
을지로3가,1209361,1204306,2413667,429923,1983744,0.17812026265429323
왕십리(성동구청),1221472,1176389,2397861,521242,1876619,0.21737790472425217
양재(서초구청),1164783,1225648,2390431,359603,2030828,0.15043437773355517
종각,1211186,1175246,2386432,367380,2019052,0.1539453041192877
연신내,1189422,1127718,2317140,490845,1826295,0.21183225873274814
수서,1147095,1164788,2311883,466549,1845334,0.2018047626112567
노량진,1150195,1137331,2287526,511089,1776437,0.22342434577792777
광화문(세종문화회관),1061032,1129973,2191005,375635,1815370,0.17144415462310675
수유(강북구청),1087530,1091054,2178584,451638,1726946,0.2073080496322382
대림(구로구청),1058552,1075808,2134360,482365,1651995,0.22599983133117188
충무로,1035517,1065181,2100698,338031,1762667,0.16091365822217188
동대문,1035421,1031514,2066935,490088,1576847,0.2371085689680614
