d_admdong_cd,d_gu_name,d_admdong_name,residential_filter,candidate_type,adjusted_mobility_score,mobility_score,residential_dominance_score,cnt_2030,avg_daily_2030,date_count,share_2030,young_single_households,young_single_ratio,young_homebound_ratio,origin_diversity,evening_2030_ratio,avg_move_time_2030,morning_2030_ratio,afternoon_2030_ratio,late_night_2030_ratio,weekday_2030_ratio,friday_2030_ratio,weekend_2030_ratio,avg_move_dist_2030,total_cnt,d_center_x,d_center_y,weighted_move_time_2030,weighted_move_dist_2030,evening_2030_cnt,morning_2030_cnt,afternoon_2030_cnt,late_night_2030_cnt,weekday_2030_cnt,friday_2030_cnt,weekend_2030_cnt,row_count,active_days,d_gu_cd,d_area_sqm,gu_name,admdong_name,living_admdong_cd,young_population,young_low_weekend_outing_group,young_very_low_outing_group,residential_match_note,residential_penalty,visit_pattern_type,commercial_zone_ratio,residential_zone_ratio,total_sales,sales_per_store,food_sales_ratio,daytime_influx_ratio,commercial_potential_score
11740620,강동구,천호3동,방문성 검토,야간 소비형,2.6633090987007613,3.180726227752311,0.7391673272165001,431318.37,14377.279,30,0.3574015233357014,2086.82,0.24527738598965682,0.03904913023037142,642,0.21433320820534493,39.044309798351506,0.015403517360041957,0.3090526842156062,0.07183457082989533,0.5851877349902811,0.1414794598245375,0.2733328051851814,8183.275538136713,1206817.38,211781.0,448918.0,16840528.06,3529597066.37,92445.85,6643.82,133300.1,30983.57,252402.22,61022.69,117893.45999999999,170739,30,11740,561872.0,강동구,천호3동,1125063,8508.0,174.78,157.45,매칭,0.7391673272165001,목적 방문형,0.0,0.0,0.0,0.0,0.0,1.0,3.1633090987007613
11500591,강서구,화곡6동,방문성 검토,야간 소비형,2.286359151712812,2.814448308365691,0.7544130809326841,406329.73,13544.324333333332,30,0.35596729860913084,2013.5,0.24093574249132463,0.042415938733995455,624,0.19779175400234683,38.66770959634187,0.02521009230606877,0.2989591482759581,0.08679788210427034,0.6024275408053454,0.13902142971423725,0.2585510294804173,8496.750573899675,1141480.5,186854.0,450255.0,15711840.0,3452482366.57,80368.67,10243.61,121475.99,35268.56,244784.22,56488.54,105056.97,146648,30,11500,1037911.0,강서구,화곡6동,1116061,8357.0,190.53,163.94,매칭,0.7544130809326841,목적 방문형,0.0,0.0,0.0,0.0,0.0,1.0,2.786359151712812
11500530,강서구,등촌2동,방문성 검토,관찰 필요,2.1674614732800945,2.1674614732800945,-1.1653632981937005,217183.76,7239.458666666667,30,0.31401848943788074,861.73,0.14252894475686403,0.02986437313926563,612,0.21452828701372514,38.89632263480473,0.021872169447660357,0.29486974532534105,0.0770507886961714,0.5996517419166147,0.14429665459332686,0.25605160349005834,9768.358893040622,691627.3,187630.0,449601.0,8447649.6,2121528913.42,46592.06,4750.28,64040.92,16734.18,130234.62,31338.89,55610.25,115141,30,11500,910666.0,강서구,등촌2동,1116053,6046.0,96.21000000000001,84.35,매칭,0.0,목적 방문형,0.0,0.0,0.0,0.0,0.0,1.0,2.6674614732800945
11170560,용산구,원효로1동,방문성 검토,관찰 필요,2.662497137054987,3.027200337786196,0.5210045724731556,346045.53,11534.851,30,0.41947851619180115,1595.85,0.2683905146316852,0.036062899428187016,630,0.16327192551800912,39.613035342488025,0.030249429894384127,0.315128936934975,0.06725120824418682,0.620968951686791,0.14384188115361582,0.23518916715959312,8699.620873501817,824942.2,197044.0,448666.0,13707913.81,3010464915.97,56499.52,10467.68,109048.96,23271.98,214883.53,49775.840000000004,81386.16,140098,30,11170,589017.0,용산구,원효로1동,1103072,5946.0,143.11,71.32,매칭,0.5210045724731556,생활 밀착형,0.0,0.0,0.0,0.0,0.0,1.0,2.662497137054987
11200690,성동구,성수2가3동,방문성 검토,광역 목적지형,2.650809282933825,3.17405686129655,0.7474965405181784,1176805.98,39226.866,30,0.5052184446898305,1119.97,0.2946514075243357,0.05382267824256775,645,0.05144517535507425,47.9923103976749,0.03782612491483091,0.43942729624810367,0.02618644069092851,0.6048479376353951,0.15459567939992963,0.2405563829646753,10445.227510570603,2329301.3,205133.0,449563.0,56477637.87,12292006196.9,60540.99,44514.01,517120.67,30816.36,711788.67,181929.12,283088.19,365379,30,11200,1054501.0,성동구,성수2가3동,1104068,3801.0,118.21000000000001,86.37,매칭,0.7474965405181784,불명확,0.0,0.0,0.0,0.0,0.0,1.0,2.650809282933825
11710710,송파구,잠실6동,방문성 검토,광역 목적지형,2.639383018141251,2.639383018141251,-3.173074755875258,1548562.28,51618.742666666665,30,0.445554313277392,209.32,0.05383744855967078,0.03628086419753086,646,0.05345945789148371,44.41041746154375,0.03187612835306824,0.48913660095091555,0.01912778735641165,0.5660309445222959,0.141823330476576,0.2921457250011281,10337.08888328986,3475585.88,208793.0,446703.0,68772297.32000001,16007625929.67,82785.3,49362.17,757458.49,29620.57,876534.17,219622.26,452405.85,386943,30,11710,1508001.0,송파구,잠실6동,1124077,3888.0,17.52,123.54,매칭,0.0,불명확,0.0,0.0,0.0,0.0,0.0,1.0,2.639383018141251
11650531,서초구,서초4동,방문성 검토,광역 목적지형,2.6277445928181535,2.6277445928181535,-1.8296549099165325,1142807.92,38093.59733333333,30,0.42256203234570877,626.59,0.10268600458865947,0.02817928548017044,647,0.08286942043593819,48.171550412426264,0.034696399373921036,0.3908326781634485,0.03388257932269143,0.6128139538969944,0.1630693721478584,0.22411667395514726,11823.423200751007,2704473.7399999998,201752.0,444387.0,55050829.33,13511901675.33,94703.83,39651.32,446646.68,38721.28,700328.64,186356.97,256122.31,350344,30,11650,879773.0,서초구,서초4동,1122054,6102.0,53.71,118.24000000000001,매칭,0.0,불명확,0.0,0.0,0.0,0.0,0.0,1.0,2.6277445928181535
11560540,영등포구,여의동,방문성 검토,광역 목적지형,2.6197263947081266,2.6197263947081266,-0.027530506584676456,3327459.54,110915.318,30,0.42622743336873,1393.9,0.1506593169044531,0.0517639429312581,650,0.038869398243682324,44.589514645157784,0.08268141706690744,0.38186207367077407,0.03012522279985409,0.6674407707448788,0.1585976399280275,0.17396158932709366,9689.02083733526,7806770.0,193677.0,447670.0,148369805.89,32239824818.45,129336.34999999999,275119.07,1270630.6,100240.46,2220882.16,527727.23,578850.15,689742,30,11560,8437543.0,영등포구,여의동,1119054,9252.0,102.27,376.65,매칭,0.0,생활 밀착형,0.0,0.0,0.0,0.0,0.0,1.0,2.6197263947081266
11440700,마포구,망원2동,방문성 검토,관찰 필요,1.9650122049479326,1.9650122049479326,-0.36660364179404864,224805.13,7493.504333333333,30,0.3330932587833895,1048.43,0.18300401466224472,0.042201082213300746,612,0.18289120003622691,41.35021131412793,0.013718370216907416,0.4012444466903402,0.059505759499349505,0.5562994492163057,0.13310523652196016,0.31059531426173415,8244.333028743606,674901.47,191180.0,451056.0,9295739.63,1853368358.29,41114.88,3083.96,90201.81,13377.2,125058.97,29922.74,69823.42,100200,30,11440,676411.0,마포구,망원2동,1114070,5729.0,80.02,161.75,매칭,0.0,목적 방문형,0.0,0.0,0.0,0.0,0.0,1.0,2.4650122049479326
11500590,강서구,화곡본동,방문성 검토,야간 소비형,1.9636576220078927,2.7408025444785036,1.1102070321008728,347644.41,11588.146999999999,30,0.330900799751502,2864.02,0.2435598265158602,0.04024832043541117,624,0.21944092240689275,40.46005365079795,0.016498237379971106,0.28828106282508614,0.09355401399953475,0.6040024057915961,0.13872367457310764,0.25727391963529633,9017.360314005913,1050600.09,186577.0,449247.0,14065711.48,3134834906.12,76287.41,5735.52,100219.3,32523.53,209978.06,48226.51,89439.84,144791,30,11500,972735.0,강서구,화곡본동,1116055,11759.0,276.49,196.79,매칭,1.1102070321008728,목적 방문형,0.0,0.0,0.0,0.0,0.0,1.0,2.4636576220078927
